,date,code,open,high,low,close,volume,amount
361,2017/11/23,sh.600519,642,646,630.22,633.73,10959913,6984097475
362,2017/11/24,sh.600519,635.9,642.5,622.23,630.04,7654194,4835808966
363,2017/11/27,sh.600519,634,636.33,613.01,621.29,6354846,3975262024
364,2017/11/28,sh.600519,625.06,648.88,624,648.23,7029183,4491543613
365,2017/11/29,sh.600519,649.94,651.97,634.01,638.12,4676372,3005733412
366,2017/11/30,sh.600519,635.51,648.48,626,631,3801962,2419959854
367,2017/12/1,sh.600519,638.01,638.99,620.13,622.35,4719274,2959772009
368,2017/12/4,sh.600519,623.95,644.1,616.72,637.79,5426771,3436687377
369,2017/12/5,sh.600519,634,647.4,630.13,632.96,4746576,3026076465
370,2017/12/6,sh.600519,631.5,644.1,620,625.01,5817409,3657236582
371,2017/12/7,sh.600519,624.95,624.99,615.26,616.69,5103262,3155212010
372,2017/12/8,sh.600519,615.42,628.85,615.42,627.28,4550339,2842464437
373,2017/12/11,sh.600519,631,651.95,631,650.99,7284917,4702239221
374,2017/12/12,sh.600519,658.7,658.77,651.02,651.32,4788931,3138650306
375,2017/12/13,sh.600519,654.99,670,650.72,668.21,4850248,3197982045
376,2017/12/14,sh.600519,669.98,671.3,660.5,664.55,3196794,2126665894
377,2017/12/15,sh.600519,664,667.95,650.78,653.79,3225595,2126579404
378,2017/12/18,sh.600519,660,669.8,658.58,665.77,3916228,2599749872
379,2017/12/19,sh.600519,663,672.44,661,667.09,4407221,2944470867
380,2017/12/20,sh.600519,669.9,686.86,664.03,684.91,6360131,4321305755
